cluster_id,num_users,avg_fraud_score,max_fraud_score,avg_reviews_per_user,num_reviews_in_cluster,suspicious_flag,num_target_products
6,402,0.35494501741864826,0.38232537998330285,1.0199004975124377,410,0,9
4,548,0.35379369299647045,0.45622578331757996,1.0985401459854014,602,0,34
54,7,0.34527448177971004,0.34527448177971004,1.0,7,0,1
57,7,0.34527448177971004,0.34527448177971004,1.0,7,0,1
62,6,0.3451809189054586,0.34518091890545854,1.0,6,0,1
66,6,0.3451809189054586,0.34518091890545854,1.0,6,0,1
83,5,0.34508735603120705,0.34508735603120705,1.0,5,0,1
88,5,0.34508735603120705,0.34508735603120705,1.0,5,0,1
75,5,0.34508735603120705,0.34508735603120705,1.0,5,0,1
3,550,0.3426835087843571,0.6279072248590779,1.0945454545454545,602,0,24
49,8,0.3328680446539615,0.34536804465396154,1.0,8,0,1
1,585,0.3327983329221116,0.5410317516622192,1.1333333333333333,663,0,40
53,7,0.3309887674939958,0.34527448177971004,1.0,7,0,1
56,7,0.3309887674939957,0.34527448177971004,1.0,7,0,1
30,18,0.3297305696040614,0.34639723627072805,1.0,18,0,1
13,213,0.3295816531014641,0.3651098111210274,1.0093896713615023,215,0,3
64,6,0.3285142522387919,0.34518091890545854,1.0,6,0,1
63,6,0.3285142522387919,0.34518091890545854,1.0,6,0,1
41,11,0.32756047796914933,0.3457422961509675,1.0,11,0,1
20,64,0.32725708701383793,0.3493912482467759,1.015625,65,0,2
15,166,0.32681269419022724,0.3628329542443507,1.0301204819277108,171,0,5
45,10,0.3255551704024645,0.34555517040246453,1.0,10,0,1
78,5,0.32508735603120703,0.34508735603120705,1.0,5,0,1
79,5,0.32508735603120703,0.34508735603120705,1.0,5,0,1
87,5,0.32508735603120703,0.34508735603120705,1.0,5,0,1
37,14,0.3246879762194021,0.3461165476479735,1.0,14,0,1
26,26,0.32397525331356536,0.34705217639048846,1.0,26,0,1
8,371,0.318632141428335,0.39433930110203774,1.0269541778975741,381,0,9
35,14,0.31735799332804193,0.3459294218994705,1.0,14,0,1
17,78,0.31640580052737305,0.3496719368695304,1.0256410256410255,80,0,3
9,366,0.31600481685235665,0.5326945279296373,1.046448087431694,383,0,13
12,218,0.3134940000890761,0.361835110522225,1.0275229357798166,224,0,6
47,9,0.3121282741948797,0.34546160752821303,1.0,9,0,1
5,455,0.31194306976818426,0.4751616497725578,1.079120879120879,491,0,27
32,17,0.3110095557494177,0.3463036733964765,1.0,17,0,1
25,29,0.3061655045079995,0.34677148776773403,1.0344827586206897,30,0,2
27,22,0.3057688339843916,0.3466779248934825,1.0,22,0,1
10,335,0.3053772716325554,0.37707905336968706,1.0776119402985074,361,0,23
77,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
73,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
71,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
70,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
81,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
76,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
85,5,0.30508735603120707,0.34508735603120705,1.0,5,0,1
82,5,0.305087356031207,0.34508735603120705,1.0,5,0,1
74,5,0.305087356031207,0.34508735603120705,1.0,5,0,1
18,74,0.3036430486999237,0.35229169734857235,1.0,74,0,1
2,563,0.30325768155450267,0.5769096473382918,1.1740674955595027,661,0,61
34,14,0.30316584191657914,0.346022984773722,1.0,14,0,1
21,62,0.3027818460833608,0.35116894285755434,1.0,62,0,1
52,7,0.30241733892256717,0.34527448177971004,1.0,7,0,1
58,7,0.30241733892256717,0.34527448177971004,1.0,7,0,1
11,242,0.30165793608198543,0.39486758587389115,1.140495867768595,276,0,22
48,9,0.3010171630837686,0.34546160752821303,1.0,9,0,1
7,395,0.30045595389285557,0.49119753547115996,1.1088607594936708,438,0,21
